dfc_start,dfc_end,orig_start,orig_end,fst,se,sites_available,sites_used,n1_eff_indiv_Bana,n1_eff_seq_Bana,n2_eff_indiv_Nagare,n2_eff_seq_Nagare,coverage_frac_pop1,coverage_frac_pop2,mean_ref_af_pop1,mean_alt_af_pop1,mean_other_af_pop1,mean_ref_af_pop2,mean_alt_af_pop2,mean_other_af_pop2
12000001,13000000,11393108,12393107,4.11153018272953E-06,0.0002780465387851,11839,11839,95.4,190.7,99.3,198.6,0.9932456485633210,0.9932105842772320,0.9904145481457360,0.0028311004175856,0.006754351436678810,0.9903272488535640,0.0028833354236682,0.006789415722768200
13000001,14000000,10393108,11393107,0.0005125803194818,0.0004261019100126,11253,11238,95.4,190.7,99.3,198.6,0.9932694588785420,0.9932201580384050,0.9911930675096500,0.0020763913688915,0.006730541121458080,0.9911531402195880,0.0020670178188173,0.006779841961595140
14000001,15000000,9393108,10393107,5.08403971371992E-05,0.000260641617118,17203,17202,95.2,190.4,99.2,198.3,0.9917493501966090,0.9917138977934010,0.9889163290375530,0.0028330211590567,0.008250649803390750,0.9888723620942140,0.0028415356991875,0.008286102206598690
15000001,16000000,8393108,9393107,0.0059156764524815,0.0024769162861601,9417,9415,95.3,190.6,99.3,198.6,0.9928407174737000,0.9928536907691170,0.990621216394092,0.0022195010796078,0.007159282526300250,0.990583221394474,0.0022704693746426,0.007146309230883430
16000001,17000000,7393108,8393107,0.0,0.0002204093414421,18644,18644,95.4,190.7,99.4,198.7,0.9934765959246610,0.9934518432494500,0.9913816557064950,0.0020949402181656,0.006523404075339230,0.991319735362666,0.0021321078867841,0.006548156750549860
17000001,18000000,6393108,7393107,4.84008435648722E-05,0.000240855185471,14591,14591,95.4,190.7,99.4,198.7,0.9934844148805190,0.9934463065025500,0.99115713691886,0.0023272779616588,0.006515585119481220,0.9911189391215580,0.0023273673809927,0.006553693497449730
18000001,19000000,5393108,6393107,0.0001680142962866,0.0003170805242781,14057,14057,95.5,191.0,99.4,198.9,0.9946088440704280,0.9945974375673290,0.99273955928319,0.0018692847872376,0.005391155929572380,0.9926752455971180,0.0019221919702107,0.005402562432670910
19000001,20000000,4393108,5393107,0.0,0.0002755410057025,15589,15589,95.5,191.0,99.4,198.9,0.9945750914692860,0.9945721507072570,0.9929582922219430,0.0016167992473423,0.005424908530714490,0.9929232656320990,0.0016488850751577,0.005427849292742870
20000001,21000000,3393108,4393107,0.0,0.0003659548498743,8124,8124,95.6,191.1,99.5,199.0,0.9951574788632110,0.9950975046251450,0.9934394276229330,0.0017180512402779,0.004842521136789300,0.9933048850156780,0.0017926196094676,0.004902495374854800
21000001,22000000,2393108,3393107,0.0002352554795151,0.0003685639466418,14973,14973,95.4,190.9,99.4,198.8,0.9941928798120900,0.994149166633531,0.991850120473709,0.0023427593383808,0.005807120187910180,0.9917509954091320,0.0023981712243994,0.005850833366469020
22000001,23000000,1393108,2393107,0.0003078044942936,0.0003054069326166,19081,19080,95.5,191.0,99.4,198.9,0.994608784222433,0.9945389844275110,0.992701020520485,0.001907763701948,0.005391215777566970,0.992669262534542,0.0018697218929686,0.005461015572489380
23000001,24000000,393108,1393107,0.0007115540212483,0.0003097279282868,18919,18918,95.4,190.9,99.4,198.8,0.9941754813767250,0.9941276225629160,0.9923001138678690,0.0018753675088566,0.005824518623274640,0.9922237893990110,0.0019038331639048,0.005872377437083960
