dfc_start,dfc_end,orig_start,orig_end,fst,se,sites_available,sites_used,n1_eff_indiv_Bana,n1_eff_seq_Bana,n2_eff_indiv_Nagare,n2_eff_seq_Nagare,coverage_frac_pop1,coverage_frac_pop2,mean_ref_af_pop1,mean_alt_af_pop1,mean_other_af_pop1,mean_ref_af_pop2,mean_alt_af_pop2,mean_other_af_pop2
15000001,16000000,37200684,38200683,0.0002211650124302,0.0003970578033039,12640,12640,94.9,189.8,98.8,197.7,0.9883696635613265,0.9883032118576162,0.9839869131395572,0.0043827504217693,0.011630336438673481,0.9838521345480964,0.0044510773095198,0.01169678814238381
16000001,17000000,36200684,37200683,0.0,0.0002133273721682,15602,15602,94.4,188.7,98.2,196.5,0.9827028949720001,0.9826408565066144,0.976564156668434,0.0061387383035662,0.017297105027999807,0.9764567326723724,0.0061841238342419,0.01735914349338567
17000001,18000000,35200684,36200683,0.0,0.0002789740012473,15690,15690,94.0,188.1,98.0,195.9,0.9798167493762132,0.9797174904629339,0.9718384986369396,0.0079782507392736,0.020183250623786793,0.97164301847705,0.0080744719858839,0.020282509537066062
18000001,19000000,34200684,35200683,0.0,0.0002706859752744,11023,11023,94.4,188.8,98.3,196.6,0.9831035827365767,0.9830864955480533,0.976867951298534,0.0062356314380427,0.01689641726342331,0.9768033968275186,0.0062830987205347,0.0169135044519467
19000001,20000000,33200684,34200683,2.312202429290745e-05,0.0002139839662239,8585,8584,94.2,188.3,98.0,196.1,0.980676079531035,0.9806647747436117,0.9728526811291766,0.0078233984018584,0.019323920468965045,0.97283300846048,0.0078317662831317,0.019335225256388255
20000001,21000000,32200684,33200683,0.0,0.000406801538386,3912,3912,94.3,188.6,98.3,196.6,0.9825249293610812,0.9830197323034198,0.9741061531062868,0.0084187762547944,0.017475070638918812,0.9747168201358342,0.0083029121675856,0.016980267696580238
21000001,22000000,31200684,32200683,0.0002775894584516,0.0003287350110876,12157,12157,94.6,189.1,98.5,197.0,0.9850921316354359,0.9850107553171263,0.9796243538702628,0.005467777765173,0.01490786836456419,0.9794018837658416,0.0056088715512847,0.014989244682873715
22000001,23000000,30200684,31200683,9.357515815273994e-05,0.0002301776894596,13511,13511,94.1,188.2,98.0,196.1,0.9803404392221049,0.9803436376077821,0.9726287994283728,0.0077116397937321,0.01965956077789513,0.9726266971604371,0.0077169404473449,0.019656362392217953
23000001,24000000,29200684,30200683,0.0,0.0002879488640488,4899,4899,94.8,189.6,98.8,197.5,0.9875928157101947,0.9875260587187007,0.9827155998410148,0.00487721586918,0.012407184289805247,0.9825910563435376,0.0049350023751631,0.012473941281299295
24000001,25000000,28200684,29200683,0.0,0.0002541539910654,13429,13429,94.6,189.2,98.6,197.1,0.9855763239386982,0.9856344024724427,0.9795942701377134,0.0059820538009848,0.014423676061301814,0.9796593951253412,0.0059750073471015,0.014365597527557328
25000001,26000000,27200684,28200683,0.0007329344221729,0.0003006309061355,12098,12098,94.0,187.9,97.8,195.7,0.9785030426823031,0.978502747727885,0.9704259069700728,0.0080771357122303,0.021496957317696894,0.9703420777723863,0.0081606699554987,0.021497252272114954
