dfc_start,dfc_end,orig_start,orig_end,fst,se,sites_available,sites_used,n1_eff_indiv_Bana,n1_eff_seq_Bana,n2_eff_indiv_Nagare,n2_eff_seq_Nagare,coverage_frac_pop1,coverage_frac_pop2,mean_ref_af_pop1,mean_alt_af_pop1,mean_other_af_pop1,mean_ref_af_pop2,mean_alt_af_pop2,mean_other_af_pop2
1,1000000,52200684,53200683,0.0008951720437656,0.0005595834577314,13491,13491,96.0,191.9,100.0,199.9,0.9994644615910695,0.9995222628778334,0.9991764568848782,0.0002880047061913,0.0005355384089304831,0.9992617038369764,0.000260559040857,0.00047773712216656625
1000001,2000000,51200684,52200683,0.0,0.0004440530440259,59656,59656,96.0,191.9,100.0,199.9,0.9994083051297313,0.9994517692160171,0.9990869000902536,0.0003214050394778,0.0005916948702686176,0.999151472081262,0.0003002971347551,0.0005482307839829179
2000001,3000000,50200684,51200683,0.0007740437280941,0.0006179405521782,37014,37014,96.0,191.9,100.0,199.9,0.9993876772224384,0.9994320808451946,0.9990489090758404,0.0003387681465979,0.00061232277756167,0.999127036339423,0.0003050445057716,0.0005679191548053865
3000001,4000000,49200684,50200683,0.0,0.0003048922997515,48678,48678,95.9,191.8,99.9,199.8,0.9991403006910156,0.9991633055792319,0.998709193985147,0.0004311067058685,0.0008596993089844854,0.9987399492221448,0.0004233563570871,0.0008366944207680816
4000001,5000000,48200684,49200683,0.0,0.0003931101221363,52497,52495,95.9,191.8,99.9,199.8,0.9989315931184182,0.9989535301052693,0.9982923470191566,0.0006392460992616,0.0010684068815818104,0.9983205038548352,0.0006330262504341,0.0010464698947307272
5000001,6000000,47200684,48200683,0.0,0.0003037834988743,68173,68172,95.9,191.8,99.9,199.8,0.9989150280598093,0.9989239133921258,0.9984009979697988,0.0005140300900105,0.0010849719401907465,0.998405668730596,0.0005182446615298,0.0010760866078742036
6000001,7000000,46200684,47200683,0.0,0.000440154396768,29027,29027,95.9,191.8,99.9,199.8,0.9987902190657759,0.9987996068012188,0.9983384754169772,0.0004517436487987,0.001209780934224122,0.9983426296297788,0.00045697717144,0.0012003931987811783
7000001,8000000,45200684,46200683,0.0007731024373409,0.0005578324104356,50957,50956,95.9,191.8,99.9,199.8,0.9988034510401548,0.9987991397867697,0.9978926837244468,0.0009107673157079,0.0011965489598452616,0.997890140263981,0.0009089995227887,0.0012008602132302596
8000001,9000000,44200684,45200683,0.000250053338987,0.0003922337707962,31789,31788,95.8,191.7,99.8,199.7,0.9985552577634733,0.9985899605479388,0.9979441803288444,0.000611077434629,0.0014447422365266452,0.9979893567318566,0.0006006038160822,0.001410039452061175
9000001,10000000,43200684,44200683,0.0,0.0002939398676614,72123,72118,95.8,191.7,99.8,199.7,0.9984849530350023,0.998492927669975,0.9979064965748002,0.000578456460202,0.0015150469649977609,0.9979034533036696,0.0005894743663054,0.0015070723300250146
10000001,11000000,42200684,43200683,0.0,0.0003008682623084,24935,24935,95.9,191.8,99.9,199.8,0.9988487686967076,0.9988422598702646,0.9981294826023128,0.0007192860943947,0.001151231303292477,0.9981063014766568,0.0007359583936078,0.0011577401297354012
11000001,12000000,41200684,42200683,0.0,0.0005993128490166,28275,28272,95.9,191.8,99.9,199.8,0.9991776850179926,0.9991686912977552,0.9988694765163946,0.0003082085015981,0.0008223149820073279,0.998865766344584,0.0003029249531712,0.0008313087022447838
12000001,13000000,40200684,41200683,0.0011004618767712,0.0014967220557071,1899,1899,95.7,191.4,99.7,199.4,0.996997717150887,0.9970211562053134,0.995339738771898,0.0016579783789891,0.0030022828491129364,0.9954066435165512,0.0016145126887622,0.002978843794686629
13000001,14000000,39200684,40200683,0.0,0.0003881007231622,4788,4788,95.8,191.7,99.8,199.6,0.9982122700087875,0.9981810730508544,0.9970277593774444,0.0011845106313432,0.001787729991212433,0.9969347808578678,0.0012462921929866,0.0018189269491456028
14000001,15000000,38200684,39200683,0.000204603546573,0.0006534153106058,20092,20092,95.9,191.8,99.9,199.8,0.9989582784676527,0.9989455207100422,0.9983962361349956,0.0005620423326571,0.0010417215323472817,0.9983785876150708,0.0005669330949714,0.0010544792899577883
15000001,16000000,37200684,38200683,0.0002628396280294,0.000352231239909,47628,47625,95.8,191.6,99.8,199.6,0.9980346533453761,0.9980413977954862,0.997214145547169,0.0008205077982071,0.0019653466546238714,0.9972243596886456,0.0008170381068405,0.001958602204513855
16000001,17000000,36200684,37200683,8.897421377660549e-06,0.0003758695504772,57692,57692,95.8,191.7,99.8,199.7,0.9984595856398593,0.9984378743153169,0.9978787063302076,0.0005808793096517,0.0015404143601407123,0.9978543328012656,0.0005835415140514,0.0015621256846830357
17000001,18000000,35200684,36200683,0.0,0.0002770843609013,60453,60446,95.8,191.6,99.8,199.6,0.9978196995579199,0.997800915009204,0.9969538111038856,0.0008658884540344,0.0021803004420800102,0.9969350078871512,0.0008659071220528,0.00219908499079603
18000001,19000000,34200684,35200683,0.0,0.0003830105849525,39353,39352,95.9,191.8,99.9,199.8,0.9989776432293314,0.9989527818724987,0.9984599310974982,0.0005177121318332,0.001022356770668601,0.9984206018826608,0.0005321799898379,0.0010472181275013035
19000001,20000000,33200684,34200683,0.0001279294319032,0.0005016070309142,31151,31150,95.8,191.7,99.8,199.6,0.9981888846363153,0.9981777105706451,0.9973217499331368,0.0008671347031784,0.0018111153636847749,0.9972898920101164,0.0008878185605287,0.001822289429354881
20000001,21000000,32200684,33200683,0.0,0.0003505698890152,14854,14853,95.8,191.5,99.8,199.5,0.9972681822963658,0.9973424257041008,0.9962657401753152,0.0010024421210506,0.0027318177036341823,0.9963470964024048,0.000995329301696,0.0026575742958991804
21000001,22000000,31200684,32200683,4.3786318296435735e-05,0.0002726864020015,44670,44670,95.8,191.5,99.8,199.5,0.9975374573145357,0.9974876563543779,0.9964684857511816,0.0010689715633541,0.002462542685464268,0.9963906407040788,0.0010970156502991,0.0025123436456221107
22000001,23000000,30200684,31200683,0.0,0.0003350970948955,49205,49201,95.8,191.7,99.8,199.7,0.9984397578656474,0.9984221223432155,0.9977790042269982,0.0006607536386493,0.0015602421343525325,0.997734256273184,0.0006878660700315,0.001577877656784483
23000001,24000000,29200684,30200683,0.0,0.0003012395449474,18108,18104,95.8,191.7,99.8,199.7,0.9983981693261693,0.9983996264526064,0.9976716477445676,0.0007265215816017,0.0016018306738306756,0.997657208229578,0.0007424182230283,0.001600373547393659
24000001,25000000,28200684,29200683,8.523534496903976e-05,0.0004775808678346,47845,47845,95.8,191.7,99.8,199.7,0.9984771058149562,0.9984678929744158,0.9977409017079482,0.000736204107008,0.0015228941850438421,0.9977228963902062,0.0007449965842097,0.001532107025584129
25000001,26000000,27200684,28200683,0.000644701918079,0.0005663429671764,44246,44246,95.8,191.7,99.8,199.7,0.9985925560100032,0.998608008195977,0.99795784454513,0.0006347114648731,0.0014074439899968648,0.9979858306373504,0.0006221775586266,0.0013919918040230426
26000001,27000000,26200684,27200683,0.0,0.0004220438560052,15464,15464,95.9,191.8,99.9,199.8,0.9989328426067107,0.9989223128857118,0.9984791284067828,0.0004537141999279,0.0010671573932893323,0.9984330990975456,0.0004892137881661,0.001077687114288271
27000001,28000000,25200684,26200683,0.0,0.0003214716929794,52407,52403,95.8,191.7,99.8,199.6,0.9982014652238755,0.9981957697932857,0.997463470777482,0.0007379944463935,0.0017985347761245137,0.9974473151292826,0.0007484546640031,0.001804230206714259
28000001,29000000,24200684,25200683,0.0,0.0002597862086265,42730,42725,95.8,191.5,99.7,199.4,0.9971398557794565,0.9971681442712205,0.9961382502220392,0.0010016055574173,0.0028601442205435324,0.9961791814861642,0.0009889627850562,0.0028318557287795552
29000001,30000000,23200684,24200683,7.875232246503728e-05,0.0002761538986953,32676,32676,95.7,191.4,99.7,199.4,0.9969946132176118,0.9970098716858465,0.9957860555698164,0.0012085576477955,0.0030053867823881357,0.9958003796878496,0.0012094919979969,0.002990128314153476
30000001,31000000,22200684,23200683,0.0001142578950183,0.0003063753338322,46244,46237,95.8,191.5,99.8,199.5,0.9975563584163261,0.9975424499075829,0.9965009830418956,0.0010553753744305,0.002443641583673895,0.9964668957622332,0.0010755541453496,0.00245755009241716
31000001,32000000,21200684,22200683,0.0002368554933324,0.0003697776022659,24642,24642,95.7,191.4,99.7,199.4,0.9970523386560378,0.9970345129262898,0.995743180379434,0.0013091582766038,0.00294766134396221,0.9957358772900065,0.0012986356362833,0.0029654870737102455
32000001,33000000,20200684,21200683,0.0,0.0002346651981378,67135,67132,95.8,191.7,99.8,199.6,0.998217572377205,0.9982227180330364,0.9972322244755156,0.0009853479016894,0.0017824276227949728,0.9972172683579268,0.0010054496751096,0.0017772819669636107
33000001,34000000,19200684,20200683,0.0002879381362165,0.0003519931512906,37383,37383,95.8,191.7,99.8,199.7,0.9982819730881826,0.998261628881529,0.9976784079195876,0.0006035651685949,0.0017180269118174823,0.9976270763780264,0.0006345525035026,0.0017383711184710106
34000001,35000000,18200684,19200683,0.0008080072916827,0.0007326872474158,17925,17925,95.9,191.8,99.8,199.7,0.9987138559204096,0.9987200548665431,0.997982383372204,0.0007314725482056,0.0012861440795903817,0.997983218875524,0.0007368359910192,0.001279945133456808
35000001,36000000,17200684,18200683,0.000277049740891,0.0002450573152422,50705,50705,95.8,191.7,99.8,199.7,0.9984527038317044,0.998451010246147,0.9976780488240244,0.0007746550076799,0.0015472961682956561,0.9976533304568076,0.0007976797893394,0.0015489897538530034
36000001,37000000,16200684,17200683,5.592692389717061e-05,0.0004171699898063,30278,30271,95.7,191.4,99.7,199.4,0.9970688517276689,0.9970633969729328,0.9955597282642416,0.0015091234634273,0.0029311482723311496,0.9955396620646216,0.0015237349083111,0.0029366030270672667
37000001,38000000,15200684,16200683,0.0003632886092489,0.0003874870743666,40963,40961,95.8,191.6,99.8,199.6,0.9980755555166869,0.998064567453919,0.9972386428571448,0.0008369126595421,0.001924444483313092,0.9972218708205892,0.0008426966333298,0.001935432546080982
38000001,39000000,14200684,15200683,0.0,0.0002825121903894,32481,32475,95.8,191.6,99.8,199.6,0.9978589740005275,0.9978783363548215,0.9970964041759977,0.0007625698245298,0.0021410259994725477,0.9971033280227384,0.0007750083320831,0.0021216636451785223
39000001,40000000,13200684,14200683,0.0,0.0002465743072239,62240,62235,95.8,191.6,99.8,199.6,0.9980496180798601,0.9980573711163772,0.9970117395336516,0.0010378785462085,0.0019503819201398692,0.997032818195518,0.0010245529208591,0.0019426288836228663
40000001,41000000,12200684,13200683,0.0004258773450241,0.000337706118131,28380,28380,95.8,191.5,99.8,199.5,0.997438349232209,0.9974024156584731,0.9961806737064552,0.0012576755257537,0.002561650767791056,0.9961208950680536,0.0012815205904195,0.002597584341526931
41000001,42000000,11200684,12200683,4.835167497324895e-05,0.0003143265193334,44843,44840,95.8,191.6,99.8,199.6,0.9979830935101434,0.9979918037287998,0.9972598976202118,0.0007231958899315,0.0020169064898566675,0.9972657861261968,0.000726017602603,0.0020081962712002375
42000001,43000000,10200684,11200683,0.0,0.0003013168806716,97392,97380,95.8,191.6,99.8,199.5,0.997658468290182,0.9976405007906335,0.9967531501370268,0.0009053181531552,0.002341531709817989,0.9967302215335876,0.0009102792570459,0.0023594992093665095
43000001,44000000,9200684,10200683,0.0,0.0002989029250109,52457,52457,95.8,191.7,99.8,199.7,0.9983119459656509,0.9982951391331758,0.9974163700680346,0.0008955758976162,0.0016880540343491698,0.9973916511544436,0.0009034879787322,0.0017048608668241852
44000001,45000000,8200684,9200683,0.0,0.0003652256078432,42062,42061,95.8,191.6,99.8,199.6,0.9980775454076201,0.9980715480395808,0.9971170906249844,0.0009604547826356,0.0019224545923799633,0.9970931072258332,0.0009784408137475,0.0019284519604192804
45000001,46000000,7200684,8200683,0.0006771981977569,0.0006138908689237,43133,43124,95.8,191.6,99.8,199.6,0.9979881793752684,0.9979531177912955,0.9969210583067925,0.0010671210684759,0.0020118206247316485,0.9968619809854116,0.0010911368058839,0.0020468822087045336
46000001,47000000,6200684,7200683,6.661576351106044e-05,0.0002954394859659,78353,78346,95.8,191.6,99.8,199.5,0.9977019293171077,0.9977149983135698,0.9967368613279612,0.0009650679891464,0.0022980706828923565,0.996755279904044,0.0009597184095258,0.0022850016864301996
47000001,48000000,5200684,6200683,0.0,0.0002703271695364,74349,74348,95.8,191.6,99.8,199.6,0.9978538288498182,0.9978475763681113,0.9969366544240044,0.0009171744258139,0.002146171150181735,0.9969111993909612,0.0009363769771501,0.002152423631888722
48000001,49000000,4200684,5200683,0.000465730750617,0.0004477263128651,54060,54057,95.8,191.7,99.8,199.7,0.9985385513750525,0.99855094950368,0.9977037781772936,0.0008347731977589,0.0014614486249474902,0.99770511899643,0.00084583050725,0.001449050496320004
49000001,50000000,3200684,4200683,1.5618340489345833e-05,0.0003508369640896,81576,81576,95.8,191.6,99.8,199.6,0.9981007006408148,0.9981216128448713,0.99730175777166,0.0007989428691548,0.001899299359185231,0.9973557782063748,0.0007658346384965,0.0018783871551287233
50000001,51000000,2200684,3200683,0.0004947818942685,0.0002707562656651,111588,111574,95.8,191.6,99.8,199.6,0.9979311443858254,0.9979278914393821,0.9969447776442644,0.0009863667415611,0.0020688556141745316,0.9969306599121184,0.0009972315272637,0.0020721085606179223
51000001,52000000,1200684,2200683,0.0001784091675659,0.0003615276552276,68811,68809,95.8,191.6,99.8,199.6,0.9980825248649393,0.998071115358945,0.9973454536550144,0.0007370712099249,0.001917475135060731,0.9973198225672928,0.0007512927916522,0.001928884641055009
52000001,53000000,200684,1200683,0.0,0.0003057987544417,65720,65715,95.8,191.6,99.8,199.6,0.9981019738402688,0.9980927017392277,0.997354287031582,0.0007476868086867,0.0018980261597312791,0.9973277500749034,0.0007649516643243,0.0019072982607723258
